sport,game_id,game_date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,result,odds_home,odds_away,odds_draw,favourite
football,1145515,2024-06-17T19:00:00+00:00,4,Euros Championship,2024,775,Austria,2,France,away,5.7688235294117645,1.5805882352941176,4.184117647058824,away
baseball,154313,2024-06-18T00:05:00+00:00,1,MLB,2024,6,Chicago Cubs,31,San Francisco Giants,away,1.795,2.0462499999999997,10000,home
baseball,154314,2024-06-18T00:05:00+00:00,1,MLB,2024,35,Texas Rangers,24,New York Mets,away,1.815,2.017,10000,home
baseball,154315,2024-06-18T00:40:00+00:00,1,MLB,2024,10,Colorado Rockies,18,Los Angeles Dodgers,away,2.3807692307692307,1.6061538461538465,10000,home
baseball,154316,2024-06-18T01:38:00+00:00,1,MLB,2024,17,Los Angeles Angels,20,Milwaukee Brewers,home,2.106153846153846,1.7623076923076924,10000,home
baseball,154318,2024-06-18T22:10:00+00:00,1,MLB,2024,19,Miami Marlins,33,St.Louis Cardinals,home,2.148461538461538,1.734615384615385,10000,home
baseball,154317,2024-06-18T22:40:00+00:00,1,MLB,2024,9,Cleveland Guardians,32,Seattle Mariners,away,1.7246153846153849,2.163846153846154,10000,home
baseball,154319,2024-06-18T22:40:00+00:00,1,MLB,2024,27,Philadelphia Phillies,30,San Diego Padres,home,1.61,2.371538461538462,10000,home
baseball,154320,2024-06-18T22:40:00+00:00,1,MLB,2024,28,Pittsburgh Pirates,8,Cincinnati Reds,away,2.0761538461538462,1.783076923076923,10000,home
baseball,154321,2024-06-18T22:45:00+00:00,1,MLB,2024,37,Washington Nationals,2,Arizona Diamondbacks,away,1.796923076923077,2.059230769230769,10000,home
basketball,384845,2024-06-18T00:00:00+00:00,13,NBA W,2024,169,Minnesota Lynx W,165,Dallas Wings W,home,1.228,4.134666666666667,10000,home
basketball,384846,2024-06-18T23:00:00+00:00,13,NBA W,2024,164,Connecticut Sun W,168,Los Angeles Sparks W,home,1.0918750000000002,7.46875,10000,home
football,1189848,2024-06-18T16:00:00+00:00,4,Euros Championship,2024,777,Türkiye,1104,Georgia,home,1.66,5.385294117647059,3.911764705882353,home
